  CLKM  [hex_]  3215143138 (bytes bf a3 30 e2 60 00)
  CLKU  [ui64]  (bytes 35 5e c5 a6 8c 0b 00 00)
  CLKo  [hex_]  632300466 (bytes 25 b0 23 b2 d5 34)
  CLSD  [ui64]  (bytes e7 43 3a 0f 07 0a 00 00)
  CLSP  [ui64]  (bytes 88 4e 0a 06 84 0b 00 00)
  CLWK  [ui64]  (bytes bd 9a a9 07 84 0b 00 00)
  CMCR  [hex_]  2499805184 (bytes 95 00 00 00 4b 00 00 00)
  CMR0  [si32]  -1795162112 (bytes 95 00 00 00)
  CMR1  [si32]  1258291200 (bytes 4b 00 00 00)
  D1Ac  [hex_]  0 (bytes 00 00 00 00)
  D1Au  [ui8 ]  0 (bytes 00)
  D1BD  [ui32]  0 (bytes 00 00 00 00)
  D1BI  [ui16]  0 (bytes 00 00)
  D1CA  [ui16]  0 (bytes 00 00)
  D1CD  [ui16]  0 (bytes 00 00)
  D1CF  [ui16]  0 (bytes 00 00)
  D1CR  [ui16]  0 (bytes 00 00)
  D1CS  [ui8 ]  0 (bytes 00)
  D1CT  [ui8 ]  0 (bytes 00)
  D1CU  [ui8 ]  0 (bytes 00)
  D1CX  [ui8 ]  0 (bytes 00)
  D1CY  [ui8 ]  0 (bytes 00)
  D1CZ  [ui8 ]  0 (bytes 00)
  D1Cb  [ui8 ]  0 (bytes 00)
  D1Cc  [ui16]  0 (bytes 00 00)
  D1Cf  [ui16]  0 (bytes 00 00)
  D1Ci  [ui16]  0 (bytes 00 00)
  D1Cm  [ui16]  0 (bytes 00 00)
  D1Cn  [ui16]  0 (bytes 00 00)
  D1Cr  [ui16]  0 (bytes 00 00)
  D1Cs  [ui16]  0 (bytes 00 00)
  D1Ct  [ui16]  0 (bytes 00 00)
  D1Cv  [ui16]  0 (bytes 00 00)
  D1Cw  [ui16]  0 (bytes 00 00)
  D1DA  [hex_]  13 (bytes 00 0d)
  D1DE  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1DI  [ui8 ]  5 (bytes 05)
  D1DP  [hex_]  0 (bytes 00 00 00 00 00 00 00 00)
  D1DR  [flag]  true (bytes 01)
  D1Dp  [flag]  false (bytes 00)
  D1EC  [ui8 ]  0 (bytes 00)
  D1EF  [hex_]  0 (bytes 00 00 00 00)
  D1Ep  [flag]  false (bytes 00)
  D1FC  [ui32]  0 (bytes 00 00 00 00)
  D1FS  [hex_]  0 (bytes 00)
  D1FV  [hex_]  3171072 (bytes 00 30 63 00)
  D1IC  [ui16]  65535 (bytes ff ff)
  D1IR  [ui16]  0 (bytes 00 00)
  D1JA  [ui32]  1276968960 (bytes 4c 1d 00 00)
  D1JB  [ui32]  1276968960 (bytes 4c 1d 00 00)
  D1JD  [{jst]  (bytes 00 00 00 00 00 00 00 00 4c 1d 4c 1d 00 00 00 00 4c 1d 00 00 00)
  D1JE  [ui32]  0 (bytes 00 00 00 00)
  D1JF  [ui32]  0 (bytes 00 00 00 00)
  D1JG  [ui32]  0 (bytes 00 00 00 00)
  D1JI  [flt ]  0 (bytes 00 00 00 00)
  D1JM  [ui16]  38970 (bytes 98 3a)
  D1JN  [ui16]  19485 (bytes 4c 1d)
  D1JP  [ui8 ]  0 (bytes 00)
  D1JQ  [hex_]  0 (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1JR  [si32]  1276968960 (bytes 4c 1d 00 00)
